"Aktivitätstyp","Dauer","Von","Bis","Kommentar"
"Arbeit","05:57","2022-03-29 07:33","2022-03-29 13:30",""
"Arbeit","03:00","2022-03-23 12:30","2022-03-23 15:30",""
"Arbeit","04:25","2022-03-23 07:34","2022-03-23 12:00",""
"Arbeit","02:51","2022-03-22 12:28","2022-03-22 15:20",""
"Arbeit","04:20","2022-03-22 07:37","2022-03-22 11:58",
"Arbeit","04:22","2022-03-17 10:07","2022-03-17 14:30",
"Arbeit","04:25","2022-03-16 13:30","2022-03-16 17:55",""
"Arbeit","02:54","2022-03-16 10:06","2022-03-16 13:00",
"Arbeit","03:01","2022-03-15 14:05","2022-03-15 17:06",
"Arbeit","06:27","2022-03-15 06:36","2022-03-15 13:03",
"Arbeit","01:56","2022-03-10 16:25","2022-03-10 18:21",""
"Arbeit","01:28","2022-03-10 13:03","2022-03-10 14:32",
"Arbeit","00:09","2022-03-10 12:28","2022-03-10 12:38",
"Arbeit","05:43","2022-03-08 07:26","2022-03-08 13:09",
"Arbeit","03:00","2022-03-07 07:39","2022-03-07 10:40",""
"Arbeit","01:55","2022-03-04 13:00","2022-03-04 14:55",""
"Arbeit","04:53","2022-03-04 07:06","2022-03-04 12:00",""
"Arbeit","02:12","2022-03-03 14:38","2022-03-03 16:50",

"Aktivitätstyp","Dauer","%"
"Arbeit","63:03","100,00"
"Insgesamt","63:03","100,00"
